Usia,Jenis Kelamin,Status Perkawinan,Pendidikan Terakhir,Pekerjaan Utama,Pekerjaan,Rata-rata Pendapatan Per Bulan,Apa alasan utama Anda tidak memilih dalam Pilkada 2024?,Administrasi,Sengaja Golput,Infrastuktur,Apakah Anda mencoblos dalam pilkada-pilkada sebelumnya?,Apakah Anda akan mencoblos dalam Pilkada 5 tahun lagi?,"Menurut Anda, apakah Pilpres lebih menarik dari Pilkada?","Menurut Anda, Apakah Pileg untuk lebih menarik dari Pilkada untuk Anda",Seberapa mudah Anda mengakses TPS tempat Anda terdaftar?,Seberapa aktif Anda mengikuti berita politik lokal di kota Anda?,Dari mana Anda mendapatkan informasi paling sering tentang Pilkada 2024?,"Menurut Anda, seberapa besar pilihan Anda apabila memilih dalam Pilkada berpengaruh pada kehidupan Anda sehari-hari?",Apakah ada tekanan sosial atau politik yang memengaruhi keputusan Anda untuk tidak memilih?,"Apakah Anda merasa bahwa pelaksanaan Pemilu 2024 yang mencakup Pilpres, Pileg, dan Pilkada dalam satu tahun terlalu padat?",Apakah anda merasa kegiatan Pemilu sebelumnya dan pemberitaannya yang terus menerus menghasilkan kelelahan pada pemilihan pilkada (Electoral Fatigue)?,"Apakah Anda mengalami praktik ""vote buying"" untuk tidak memilih saat Pilkada terakhir?","Jika iya, dari mana insentif atau vote buying itu berasal?","Menurut Anda, apakah pemilih perlu diberikan insentif atau penghargaan agar ikut aktif memilih dalam pilkada?","Menurut Anda, apa yang paling penting yang bisa dilakukan agar Pilkada kembali menarik bagi masyarakat?","Pada pilkada yang akan datang, apakah ada faktor yang paling utama yang dapat membuat Anda lebih tertarik untuk memilih?","Jika harapan Anda diatas terpenuhi, apakah Anda akan memilih dalam pilkada berikutnya?"
20-29 tahun,Laki-Laki,Tidak Menikah,SMA/Sederajat,Pelajar/Mahasiswa,Pelajar/Mahasiswa,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Ya,Ya,Tidak Tahu,Cukup mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),Televisi,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Sangat besar kemungkinan
30-39 tahun,Perempuan,Menikah,SMA/Sederajat,Ibu rumah tangga,Ibu rumah tangga,< Rp. 2.500.000,Sengaja Golput,,Tidak kenal dengan kandidat yang ada,,"Ya, pernah",Tidak Tahu,Ya,Tidak Tahu,Sulit,Jarang (hanya mendengar sesekali),Televisi,Sama sekali tidak berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Ya,dari keluarga,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
20-29 tahun,Perempuan,Tidak Menikah,Diploma (D1-D3),Pegawai negeri/ASN,Pegawai negeri/ASN,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Tidak Tahu,Ya,Tidak,Sulit,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,"Ya, tekanan dari lingkungan kerja","Ya, terlalu padat dan membebani pemilih","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Ya,dari lingkungan tetangga,Ya,Mengurangi periode waktu kampanye yang terlalu padat dan melelahkan,Penyelenggaraannya menyesuaikan jadwal dan kondisi pekerja di luar kota,Cukup besar kemungkinan
40-49 tahun,Perempuan,Menikah,SMA/Sederajat,Ibu rumah tangga,Ibu rumah tangga,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,TPS terlalu jauh atau sulit dijangkau,"Ya, pernah",Tidak Tahu,Ya,Ya,Sulit,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Memberikan kemudahan akses bagi pemilih yang datang ke TPS,Akses ke TPS lebih mudah dan dekat,Cukup besar kemungkinan
30-39 tahun,Laki-Laki,Menikah,SMP/Sederajat,Wiraswasta,Wiraswasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Tidak Tahu,Ya,Tidak,Cukup mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),Televisi,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Ragu-ragu
30-39 tahun,Laki-Laki,Menikah,SMA/Sederajat,Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,TPS terlalu jauh atau sulit dijangkau,"Ya, pernah",Tidak Tahu,Ya,Tidak,Sulit,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Ya,Memberikan kemudahan akses bagi pemilih yang datang ke TPS,Akses ke TPS lebih mudah dan dekat,Cukup besar kemungkinan
≥ 60 tahun,Perempuan,Cerai Mati,SD/Sederajat,Wiraswasta,Wiraswasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,TPS tidak memiliki fasilitas untuk penyandang disabilitas atau lansia,"Ya, selalu",Tidak Tahu,Tidak Tahu,Tidak Tahu,Sulit,Tidak tertarik sama sekali,Diskusi dengan keluarga/teman,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Tidak Tahu,Memberikan kemudahan akses bagi pemilih yang datang ke TPS,Akses ke TPS lebih mudah dan dekat,Ragu-ragu
≥ 60 tahun,Laki-Laki,Cerai Mati,SMP/Sederajat,Tidak bekerja,Tidak bekerja,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,TPS terlalu jauh atau sulit dijangkau,"Ya, pernah",Tidak Tahu,Tidak Tahu,Tidak Tahu,Sulit,Tidak tertarik sama sekali,Diskusi dengan keluarga/teman,Sama sekali tidak berpengaruh,"Ya, tekanan dari keluarga",Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Ya,Memberikan kemudahan akses bagi pemilih yang datang ke TPS,Akses ke TPS lebih mudah dan dekat,Kecil kemungkinan
20-29 tahun,Laki-Laki,Menikah,SMA/Sederajat,Pegawai kontrak,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Sengaja Golput,,"Tidak kenal dengan kandidat yang ada, Tidak percaya bahwa pilkada akan membawa perubahan",,"Ya, pernah",Tidak Tahu,Ya,Ya,Cukup mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Sama sekali tidak berpengaruh,Tidak ada tekanan sama sekali,"Ya, terlalu padat dan membebani pemilih","Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Ya,Menyampaikan kampanye secara dor to dor,Kampanye yang lebih informatif dan transparan,Cukup besar kemungkinan
20-29 tahun,Laki-Laki,Menikah,SMA/Sederajat,Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Sengaja Golput,,"Tidak tertarik atau jenuh terhadap politik, Tidak suka dan tidak percaya dengan kandidat yang ada, Tidak ada program dari kandidat yang menarik",,"Ya, pernah",Tidak Tahu,Tidak,Tidak,Tidak Tahu,Sangat aktif (mengikuti berita setiap hari),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,"Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
≥ 60 tahun,Perempuan,Menikah,SMA/Sederajat,Dahulu buka toko kue ,Buruh,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,"TPS terlalu jauh atau sulit dijangkau, TPS tidak memiliki fasilitas untuk penyandang disabilitas atau lansia","Ya, pernah",Tidak Tahu,Tidak,Tidak,Sulit,Jarang (hanya mendengar sesekali),Televisi,Sama sekali tidak berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
50-59 tahun,Perempuan,Cerai Mati,SMP/Sederajat,Tidak bekerja,Tidak bekerja,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,TPS terlalu jauh atau sulit dijangkau,"Ya, pernah",Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Jarang (hanya mendengar sesekali),Diskusi dengan keluarga/teman,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Ya,Memberikan kemudahan akses bagi pemilih yang datang ke TPS,Tidak ada yang bisa membuat saya tertarik memilih,Kecil kemungkinan
20-29 tahun,Laki-Laki,Menikah,SMA/Sederajat,Pegawai swasta,Pegawai swasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Tidak Tahu,Ya,Tidak,Cukup mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,"Ya, tekanan dari lingkungan kerja","Ya, terlalu padat dan membebani pemilih","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Ya,Mengurangi periode waktu kampanye yang terlalu padat dan melelahkan,Penyelenggaraannya menyesuaikan jadwal dan kondisi pekerja di luar kota,Ragu-ragu
50-59 tahun,Laki-Laki,Cerai Mati,SMA/Sederajat,Wiraswasta,Wiraswasta,Rp 2.500.000 – Rp 5.000.000,Sengaja Golput,,"Tidak tertarik atau jenuh terhadap politik, Tidak kenal dengan kandidat yang ada, Tidak percaya bahwa pilkada akan membawa perubahan",,"Ya, pernah",Tidak Tahu,Tidak,Tidak,Tidak Tahu,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,"Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Tidak Tahu,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
40-49 tahun,Laki-Laki,Menikah,Diploma (D1-D3),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, pernah",Tidak Tahu,Ya,Ya,Tidak Tahu,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Penyelenggaraannya menyesuaikan jadwal dan kondisi pekerja di luar kota,Cukup besar kemungkinan
20-29 tahun,Perempuan,Tidak Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Tidak Tahu,Ya,Tidak,Cukup mudah,Jarang (hanya mendengar sesekali),Diskusi dengan keluarga/teman,Cukup berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,"Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
30-39 tahun,Laki-Laki,Menikah,SMA/Sederajat,Wiraswasta,Wiraswasta,Rp 2.500.000 – Rp 5.000.000,Sengaja Golput,,"Tidak tertarik atau jenuh terhadap politik, Tidak ada program dari kandidat yang menarik",,"Ya, pernah",Tidak Tahu,Tidak,Tidak,Tidak Tahu,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,"Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Tidak Tahu,Memperbaiki sistem pilkada agar lebih transparan dan adil,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
30-39 tahun,Perempuan,Menikah,SMA/Sederajat,Ibu rumah tangga,Ibu rumah tangga,< Rp. 2.500.000,Sengaja Golput,,"Tidak tertarik atau jenuh terhadap politik, Tidak kenal dengan kandidat yang ada, Tidak ada program dari kandidat yang menarik",,"Ya, pernah",Tidak Tahu,Tidak,Tidak,Tidak Tahu,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,"Ya, tekanan dari keluarga",Tidak tahu/tidak punya pendapat,"Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Ragu-ragu
30-39 tahun,Laki-Laki,Tidak Menikah,SMP/Sederajat,Serabutan di Kurir,Buruh,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Tidak tahu atau lupa hari pencoblosan,"Ya, pernah",Ya,Ya,Tidak,Sangat mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Sangat berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Sangat besar kemungkinan
40-49 tahun,Perempuan,Cerai Mati,SMP/Sederajat,Ibu rumah tangga,Ibu rumah tangga,< Rp. 2.500.000,Sengaja Golput,,,Pindah Domisili,"Ya, pernah",Tidak Tahu,Tidak,Tidak,Tidak Tahu,Jarang (hanya mendengar sesekali),Televisi,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Ya,Membuat informasi pilkada lebih menarik dan mudah diakses,Tidak ada yang bisa membuat saya tertarik memilih,Kecil kemungkinan
40-49 tahun,Laki-Laki,Tidak Menikah,SMA/Sederajat,Serabutan,Buruh,< Rp. 2.500.000,Sengaja Golput,,Tidak suka dan tidak percaya dengan kandidat yang ada,,Tidak pernah memilih,Tidak Tahu,Tidak,Tidak,Sangat mudah,Tidak tertarik sama sekali,"Tidak mau, sudah hilang kepercayaan",Sangat berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Tidak Tahu,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Kecil kemungkinan
50-59 tahun,Perempuan,Menikah,SMA/Sederajat,Wiraswasta,Wiraswasta,< Rp. 2.500.000,Sengaja Golput,,,,"Ya, pernah",Tidak Tahu,Ya,Ya,Cukup mudah,Jarang (hanya mendengar sesekali),Televisi,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
≥ 60 tahun,Laki-Laki,Menikah,SD/Sederajat,Parkir,Buruh,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Ya,Tidak Tahu,Tidak Tahu,Sangat mudah,Jarang (hanya mendengar sesekali),"Sesekali berbincang dengan orang, karena beliau tukang parkir.",Cukup berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
20-29 tahun,Laki-Laki,Tidak Menikah,Diploma (D1-D3),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Tidak Tahu,Ya,Tidak,Tidak Tahu,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,"Ya, tekanan dari lingkungan kerja","Ya, terlalu padat dan membebani pemilih","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Mengurangi periode waktu kampanye yang terlalu padat dan melelahkan,Penyelenggaraannya menyesuaikan jadwal dan kondisi pekerja di luar kota,Cukup besar kemungkinan
30-39 tahun,Laki-Laki,Menikah,SMA/Sederajat,Wiraswasta,Wiraswasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Ya,Ya,Ya,Sangat mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),Kanal resmi KPU/KPUD,Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak Tahu,Memperbaiki sistem pilkada agar lebih transparan dan adil,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
50-59 tahun,Laki-Laki,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 5.000.000 – Rp 10.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Ya,Ya,Ya,Cukup mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Memperbaiki sistem pilkada agar lebih transparan dan adil,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
20-29 tahun,Laki-Laki,Tidak Menikah,SMA/Sederajat,Pelajar/Mahasiswa,Pelajar/Mahasiswa,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, pernah",Tidak Tahu,Ya,Tidak,Cukup mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, terlalu padat dan membebani pemilih","Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Ya,Mengurangi periode waktu kampanye yang terlalu padat dan melelahkan,Penyelenggaraannya menyesuaikan jadwal dan kondisi pekerja di luar kota,Cukup besar kemungkinan
40-49 tahun,Perempuan,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Ya,Ya,Ya,Cukup mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Membuat informasi pilkada lebih menarik dan mudah diakses,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
30-39 tahun,Laki-Laki,Menikah,SMA/Sederajat,Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Sengaja Golput,,Tidak kenal dengan kandidat yang ada,,Tidak pernah memilih,Tidak,Ya,Tidak,Sangat mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat",Tidak tahu/tidak punya pendapat,Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
30-39 tahun,Perempuan,Menikah,SMA/Sederajat,Ibu rumah tangga,Ibu rumah tangga,< Rp. 2.500.000,Sengaja Golput,,Tidak kenal dengan kandidat yang ada,,Tidak pernah memilih,Tidak Tahu,Ya,Tidak,Sangat mudah,Tidak tertarik sama sekali,Tidak mendapatkan informasi sama sekali,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak merasa lelah sama sekali, tetap antusias mengikuti perkembangan Pilkada",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
20-29 tahun,Perempuan,Menikah,SMA/Sederajat,Ibu rumah tangga,Ibu rumah tangga,< Rp. 2.500.000,Sengaja Golput,,Tidak ada program dari kandidat yang menarik,,"Ya, pernah",Tidak Tahu,Ya,Tidak Tahu,Cukup mudah,Jarang (hanya mendengar sesekali),Kampanye langsung dari kandidat/tim sukses,Sama sekali tidak berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima",Tidak tahu/tidak punya pendapat,Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Tidak ada yang bisa membuat saya tertarik memilih,Kecil kemungkinan
30-39 tahun,Laki-Laki,Menikah,SMA/Sederajat,Wiraswasta,Wiraswasta,< Rp. 2.500.000,Sengaja Golput,,Tidak tertarik atau jenuh terhadap politik,TPS terlalu jauh atau sulit dijangkau,"Ya, pernah",Tidak Tahu,Ya,Tidak,Sulit,Cukup aktif (mengikuti berita beberapa kali seminggu),Diskusi dengan keluarga/teman,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,"Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Akses ke TPS lebih mudah dan dekat,Cukup besar kemungkinan
≥ 60 tahun,Perempuan,Cerai Mati,SD/Sederajat,Tidak bekerja,Tidak bekerja,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,TPS terlalu jauh atau sulit dijangkau,"Ya, pernah",Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu,Jarang (hanya mendengar sesekali),Diskusi dengan keluarga/teman,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Ya,Memberikan kemudahan akses bagi pemilih yang datang ke TPS,Akses ke TPS lebih mudah dan dekat,Kecil kemungkinan
≥ 60 tahun,Laki-Laki,Cerai Mati,SMP/Sederajat,Tidak bekerja,Tidak bekerja,< Rp. 2.500.000,Sengaja Golput,,Tidak tertarik atau jenuh terhadap politik,,"Ya, pernah",Tidak,Tidak Tahu,Tidak Tahu,Tidak Tahu,Jarang (hanya mendengar sesekali),Diskusi dengan keluarga/teman,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,"Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Ya,Memberikan kemudahan akses bagi pemilih yang datang ke TPS,Tidak ada yang bisa membuat saya tertarik memilih,Kecil kemungkinan
30-39 tahun,Perempuan,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Ya,Ya,Tidak,Cukup mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak Tahu,Membuat informasi pilkada lebih menarik dan mudah diakses,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
< 20 tahun,Laki-Laki,Tidak Menikah,SMA/Sederajat,Pelajar/Mahasiswa,Pelajar/Mahasiswa,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,Tidak pernah memilih,Ya,Ya,Tidak,Cukup mudah,Sangat aktif (mengikuti berita setiap hari),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, terlalu padat dan membebani pemilih","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Mengurangi periode waktu kampanye yang terlalu padat dan melelahkan,Penyelenggaraannya menyesuaikan jadwal dan kondisi pekerja di luar kota,Sangat besar kemungkinan
